job,model,dataset,src_layer,tgt_layer,sdc_group,rows,semantic_groups,finite_rows,non_finite_rows,non_finite_rate,mean_cos_sim,median_cos_sim,std_cos_sim,q25_cos_sim,q75_cos_sim,mean_ci95_low,mean_ci95_high,evidence
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,23,24,non_sdc,5906,75,5906,0,0.0,0.8072096236552216,0.809836745262146,0.06341458811029714,0.7762466967105865,0.8471793234348297,0.7950555838232762,0.8190833415539779,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,23,24,non_significant_sdc,1327,73,1327,0,0.0,0.8038621543462373,0.8153162747621536,0.0647164063311714,0.7640852332115173,0.845884159207344,0.7871969322082447,0.8194605620724097,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,23,24,significant_sdc,264,52,144,120,0.4545454545454546,0.6312467165092434,0.6188746094703674,0.1874160201238753,0.5540371611714363,0.7837982028722763,0.5624185134600446,0.6825875430019465,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,24,25,non_sdc,5906,75,5906,0,0.0,0.8227540461041848,0.8278383389115334,0.06658799005129405,0.793307077139616,0.871489841490984,0.8092148825994293,0.8356904297455652,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,24,25,non_significant_sdc,1327,73,1327,0,0.0,0.8195650464860047,0.8321688920259476,0.07513261369831886,0.7963912189006805,0.8694880902767181,0.8001999555867216,0.8371003836890357,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,24,25,significant_sdc,264,50,139,125,0.4734848484848485,0.6899839729144365,0.7149995416402817,0.1943213667588338,0.7016298100352287,0.8167695999145508,0.6229339141328458,0.7386792842962211,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,25,26,non_sdc,5906,75,5906,0,0.0,0.902828496789684,0.9101731479167938,0.044106081370796704,0.8797518685460091,0.9358904212713242,0.8946127191000856,0.9107846289318109,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,25,26,non_significant_sdc,1327,73,1327,0,0.0,0.9001166422310276,0.9059800356626511,0.044894098266216986,0.8757899329066277,0.9305150136351585,0.890256824608525,0.9098174297075198,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,25,26,significant_sdc,264,50,134,130,0.49242424242424243,0.661106753359382,0.6600266620516777,0.26273218912760105,0.5373210795223713,0.9011064134538174,0.5456718435537079,0.7390783675445015,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,26,27,non_sdc,5906,75,5906,0,0.0,0.9809984347735407,0.9841574504971504,0.022766307216065616,0.9779641442000866,0.9891304112970829,0.9772010934017659,0.9839444832149995,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,26,27,non_significant_sdc,1327,73,1327,0,0.0,0.9802845381509117,0.9830514639616013,0.019611934606614673,0.9777543693780899,0.9883327782154083,0.9770126550129953,0.9831881833290619,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,26,27,significant_sdc,264,49,126,138,0.5227272727272727,0.7817054401698803,0.7005167081952095,0.21811200287024834,0.6702065579593182,0.9773742407560349,0.6899732159040061,0.839475400964322,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,0,1,non_sdc,5762,75,5762,0,0.0,0.8607110838609121,0.8844222277402878,0.08657526082771766,0.8049424886703491,0.9383042752742767,0.8409936395642318,0.8788107651124634,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,0,1,non_significant_sdc,1293,70,1293,0,0.0,0.8236661710922606,0.8203525096178055,0.08784159569837303,0.7520760595798492,0.9075383841991425,0.8032596349469463,0.8451909418636998,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,0,1,significant_sdc,433,75,422,11,0.025404157043879882,0.5890270822805075,0.6057066023349762,0.09704901747437815,0.5851809177547693,0.6171046271920204,0.5777053436380989,0.5987896504853601,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,1,2,non_sdc,5762,75,5762,0,0.0,0.847767326360163,0.8732661008834839,0.07750856382122398,0.781610757112503,0.9125315099954605,0.8303612924743837,0.863794385808455,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,1,2,non_significant_sdc,1293,70,1293,0,0.0,0.8194211235778422,0.8330767452716827,0.07681160163257225,0.7584143579006195,0.8868059813976288,0.8025501197096402,0.8381112249649605,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,1,2,significant_sdc,433,75,412,21,0.0484988452655889,0.3793828257594655,0.3783008363097906,0.08029097621543589,0.3685149475932121,0.39021541830152273,0.37045525733229345,0.3886256089126913,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,2,3,non_sdc,5762,75,5762,0,0.0,0.8162420552310555,0.8442195504903793,0.11598273076836921,0.7145128846168518,0.9143944755196571,0.7903578790754345,0.8415485074279625,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,2,3,non_significant_sdc,1293,70,1293,0,0.0,0.7696985504334275,0.7711653709411621,0.11903848781460806,0.6825242042541504,0.8698448091745377,0.7390519885904312,0.8015043109623914,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,2,3,significant_sdc,433,74,405,28,0.0646651270207852,0.36500684236072833,0.36979616433382034,0.07360840330136444,0.3586338125169277,0.37817543372511864,0.3561883679886856,0.37408399528166264,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,3,4,non_sdc,5762,75,5762,0,0.0,0.8614542516273618,0.879634752869606,0.058694896663982025,0.8202080130577087,0.9046980142593384,0.8485339912687334,0.8740990139149412,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,3,4,non_significant_sdc,1293,70,1293,0,0.0,0.8406030163745132,0.8478533327579498,0.0627561133515739,0.7984866350889206,0.8934327065944672,0.8260356069772212,0.8559105026391798,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,3,4,significant_sdc,433,75,398,35,0.0808314087759815,0.6329968583362935,0.6744506880640984,0.15402646838810127,0.6616546027362347,0.6860087662935257,0.6154937388041805,0.6489563764829003,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,4,5,non_sdc,5762,75,5762,0,0.0,0.8133289111937833,0.837450698018074,0.08851401727106582,0.7645502127707005,0.8790124505758286,0.7933521116454152,0.8319833062741424,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,4,5,non_significant_sdc,1293,70,1293,0,0.0,0.7844432319031145,0.800191193819046,0.09344600535626262,0.732410654425621,0.8607669621706009,0.7630217244959885,0.8067872050545183,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,4,5,significant_sdc,433,75,386,47,0.10854503464203236,0.4327186399255276,0.4574795439839363,0.1155435338100818,0.44261277094483376,0.4699628967791796,0.4212183530262101,0.44363782376989397,adequate
internvl3_lingoqa,InternVL3-8B,LingoQA,5,6,non_sdc,5762,75,5762,0,0.0,0.8589462456524538,0.8784666806459427,0.0584193071042154,0.8080517202615738,0.9017361551523209,0.8458713300877152,0.8714678458755545,adequate
