metric,src_layer,tgt_layer,sdc_group,task_count,macro_mean_value,task_std_value
cos_sim,18,19,non_significant_sdc,9,0.7837692363376008,0.06910068219248364
cos_sim,18,19,significant_sdc,9,0.43334706693962133,0.17063007193354135
cos_sim,19,20,non_sdc,9,0.7302024045565593,0.12102085325254616
cos_sim,19,20,non_significant_sdc,9,0.731222857319326,0.11199728079361128
cos_sim,19,20,significant_sdc,9,0.3737108773126985,0.21015850891499918
cos_sim,20,21,non_sdc,9,0.7400896992982371,0.12382539312586004
cos_sim,20,21,non_significant_sdc,9,0.7264864210784652,0.1105669619881301
cos_sim,20,21,significant_sdc,9,0.44218803316133654,0.12849526858108104
cos_sim,21,22,non_sdc,9,0.7442695121537727,0.13260634746073743
cos_sim,21,22,non_significant_sdc,9,0.7383004726995446,0.12449566784579856
cos_sim,21,22,significant_sdc,9,0.30913798794962116,0.17887528530935612
cos_sim,22,23,non_sdc,9,0.7785177738302593,0.09687484323503115
cos_sim,22,23,non_significant_sdc,9,0.7664838964687646,0.09093692832037803
cos_sim,22,23,significant_sdc,9,0.5148242599408618,0.1235963888632756
cos_sim,23,24,non_sdc,9,0.7707944054179545,0.10879983188079123
cos_sim,23,24,non_significant_sdc,9,0.7606157576769249,0.10009068870963775
cos_sim,23,24,significant_sdc,9,0.5763797210202075,0.06405621750695796
cos_sim,24,25,non_sdc,9,0.7712729734009325,0.0973584900408492
cos_sim,24,25,non_significant_sdc,9,0.7562265931587269,0.09153117802586849
cos_sim,24,25,significant_sdc,9,0.5191005789708977,0.17786970959955292
cos_sim,25,26,non_sdc,9,0.855052790691867,0.06514067280293256
cos_sim,25,26,non_significant_sdc,9,0.8513943603341008,0.05940812304269466
cos_sim,25,26,significant_sdc,9,0.5703894058522531,0.12785078863406665
cos_sim,26,27,non_sdc,9,0.9385611950652714,0.05824895561612837
cos_sim,26,27,non_significant_sdc,9,0.9166279947175803,0.09260389934617583
cos_sim,26,27,significant_sdc,9,0.6362907914280576,0.09808020684873367
cos_sim,27,28,non_sdc,3,0.8458785246189641,0.0756056181905192
cos_sim,27,28,non_significant_sdc,3,0.7928869955846327,0.055574588644822016
cos_sim,27,28,significant_sdc,3,0.5522924041176719,0.01683086653903185
cos_sim,28,29,non_sdc,3,0.8278145527663837,0.08922292798661396
cos_sim,28,29,non_significant_sdc,3,0.8104237375615085,0.03458807491994235
cos_sim,28,29,significant_sdc,3,0.5820724081912626,0.07430746342044703
cos_sim,29,30,non_sdc,3,0.8719360087182116,0.05549109639695702
cos_sim,29,30,non_significant_sdc,3,0.8217907137279609,0.07249366479026509
cos_sim,29,30,significant_sdc,3,0.5861918097158719,0.06725558974583228
cos_sim,30,31,non_sdc,3,0.9065407166014451,0.03898906528096434
cos_sim,30,31,non_significant_sdc,3,0.8731066156975995,0.05972784836115264
cos_sim,30,31,significant_sdc,3,0.6925839113199048,0.09121136486911423
l2_distance,0,1,non_sdc,9,0.6291003023784625,0.2890507925256694
l2_distance,0,1,non_significant_sdc,9,0.6372527121861276,0.28338776360633605
l2_distance,0,1,significant_sdc,9,27756432409.63979,51980980068.960724
l2_distance,1,2,non_sdc,9,0.4792746127800048,0.19644384132537182
l2_distance,1,2,non_significant_sdc,9,0.4845067744236478,0.2044541695139388
l2_distance,1,2,significant_sdc,9,4299453000.75197,12898358999.109726
l2_distance,2,3,non_sdc,9,0.6091298685655657,0.25889449705747253
l2_distance,2,3,non_significant_sdc,9,0.6214833806228286,0.26305422135100887
l2_distance,2,3,significant_sdc,9,1.147627323363708,0.5593564032754341
l2_distance,3,4,non_sdc,9,0.6617299161512747,0.3125637678826365
l2_distance,3,4,non_significant_sdc,9,0.6863767800983926,0.30306159997884924
l2_distance,3,4,significant_sdc,9,1829187504.5593605,5487562510.224291
l2_distance,4,5,non_sdc,9,0.6760182482945228,0.2877684406226372
l2_distance,4,5,non_significant_sdc,9,0.6825960592761591,0.29528288905567057
l2_distance,4,5,significant_sdc,9,99923162819.20404,279762555774.4796
l2_distance,5,6,non_sdc,9,0.7683826203339685,0.32376354448783895
l2_distance,5,6,non_significant_sdc,9,0.7817898977250581,0.3322255432089606
l2_distance,5,6,significant_sdc,9,98577760380.36815,278817447757.3104
l2_distance,6,7,non_sdc,9,0.8762127989162559,0.3247358596849437
l2_distance,6,7,non_significant_sdc,9,0.893300216058837,0.3352371454147363
l2_distance,6,7,significant_sdc,9,1370703159912.7427,3965538107498.933
l2_distance,7,8,non_sdc,9,0.9761221729346068,0.43355978694497266
l2_distance,7,8,non_significant_sdc,9,0.9898783831886401,0.4260765487395071
l2_distance,7,8,significant_sdc,9,1399727034673.5671,4052063458982.0776
l2_distance,8,9,non_sdc,9,1.1289105802705428,0.5121802452387768
l2_distance,8,9,non_significant_sdc,9,1.1333965403623585,0.5141334218794897
l2_distance,8,9,significant_sdc,9,733004446764.4253,2159837428630.074
l2_distance,9,10,non_sdc,9,1.0775648337926156,0.39764065440638974
l2_distance,9,10,non_significant_sdc,9,1.0905096850962714,0.4055882368573916
l2_distance,9,10,significant_sdc,9,761509074191.3634,2218803122739.0103
l2_distance,10,11,non_sdc,9,1.077347576219082,0.32301144673585236
l2_distance,10,11,non_significant_sdc,9,1.0832739897304293,0.3340502442828816
l2_distance,10,11,significant_sdc,9,73309072533.5473,183613093250.1338
l2_distance,11,12,non_sdc,9,1.0977072808722292,0.2985320781163433
l2_distance,11,12,non_significant_sdc,9,1.1046471095569617,0.3048929355344178
l2_distance,11,12,significant_sdc,9,66279740117.70691,185823864973.2989
l2_distance,12,13,non_sdc,9,1.234764658026978,0.43127506486666645
l2_distance,12,13,non_significant_sdc,9,1.2589826915037332,0.42271656913419103
l2_distance,12,13,significant_sdc,9,2.1025107601484567,0.6797105065111783
l2_distance,13,14,non_sdc,9,1.2144228385886127,0.41115959933631
l2_distance,13,14,non_significant_sdc,9,1.2545166787558955,0.3606614650968092
l2_distance,13,14,significant_sdc,9,1726502990.469041,5179508965.07814
l2_distance,14,15,non_sdc,9,1.2946057801435804,0.4202361236079249
