job,model,dataset,metric,src_layer,tgt_layer,sdc_group,rows,finite_rows,non_finite_rows,non_finite_rate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,19,20,significant_sdc,224,143,81,0.3616071428571429
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,20,21,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,20,21,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,20,21,significant_sdc,224,139,85,0.3794642857142857
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,21,22,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,21,22,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,21,22,significant_sdc,224,137,87,0.3883928571428571
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,22,23,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,22,23,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,22,23,significant_sdc,224,133,91,0.40625
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,23,24,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,23,24,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,23,24,significant_sdc,224,131,93,0.4151785714285714
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,24,25,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,24,25,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,24,25,significant_sdc,224,128,96,0.4285714285714286
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,25,26,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,25,26,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,25,26,significant_sdc,224,127,97,0.4330357142857143
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,26,27,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,26,27,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_mean_diff,26,27,significant_sdc,224,123,101,0.4508928571428571
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,0,1,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,0,1,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,0,1,significant_sdc,224,184,40,0.1785714285714286
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,1,2,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,1,2,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,1,2,significant_sdc,224,181,43,0.1919642857142857
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,2,3,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,2,3,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,2,3,significant_sdc,224,183,41,0.1830357142857143
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,3,4,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,3,4,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,3,4,significant_sdc,224,179,45,0.2008928571428571
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,4,5,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,4,5,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,4,5,significant_sdc,224,175,49,0.21875
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,5,6,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,5,6,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,5,6,significant_sdc,224,179,45,0.2008928571428571
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,6,7,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,6,7,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,6,7,significant_sdc,224,178,46,0.2053571428571429
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,7,8,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,7,8,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,7,8,significant_sdc,224,176,48,0.2142857142857143
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,8,9,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,8,9,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,8,9,significant_sdc,224,170,54,0.2410714285714286
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,9,10,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,abs_std_diff,9,10,non_significant_sdc,1723,1723,0,0.0
