job,model,dataset,metric,src_layer,tgt_layer,sdc_group,rows,semantic_groups,finite_rows,non_finite_rows,non_finite_rate,mean_value,median_value,std_value,q25_value,q75_value,mean_ci95_low,mean_ci95_high,evidence
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,5,6,non_sdc,5364,375,5364,0,0.0,0.8318120546654841,0.8344000394527729,0.04257422234241077,0.8043935969471931,0.8610801249742508,0.8287447010959362,0.834853880224802,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,5,6,non_significant_sdc,1685,313,1685,0,0.0,0.8240469891286698,0.827743851620218,0.04238981815744775,0.7986858487129211,0.8520371526479721,0.8198248456674313,0.8281776327285223,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,5,6,significant_sdc,436,238,379,57,0.1307339449541285,0.2240550845845953,0.21351824989732432,0.15804608258832117,0.19174453616142273,0.22360068932175636,0.20359215673553993,0.24628557344175817,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,6,7,non_sdc,5364,375,5364,0,0.0,0.7327771225351235,0.73548624708372,0.07498631284554057,0.6810058027505874,0.7842344250672918,0.7267226123076028,0.7387225144002862,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,6,7,non_significant_sdc,1685,313,1685,0,0.0,0.716027662800642,0.7208473792782536,0.07908638282357179,0.6736208956975204,0.7682881702979406,0.7067652383744043,0.7245037668179812,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,6,7,significant_sdc,436,236,370,66,0.1513761467889908,0.36787501969981284,0.3866128340667608,0.09715508072991265,0.3702635187275556,0.39648085923827425,0.3569172857591454,0.37828722941302667,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,7,8,non_sdc,5364,375,5364,0,0.0,0.7990998501980131,0.8056243277021817,0.05934204977951046,0.7608468218853599,0.8420404480770229,0.7944011749884016,0.803680093380771,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,7,8,non_significant_sdc,1685,313,1685,0,0.0,0.7868841408362865,0.7954248167850353,0.06449482656451377,0.7504270265499751,0.8303953775992761,0.7799304635527442,0.793549278480645,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,7,8,significant_sdc,436,232,354,82,0.18807339449541283,0.10371847644442062,0.07892697790105427,0.13727587759835802,0.06534133611332474,0.08790453323828323,0.08554768641542627,0.124149743600776,adequate
internvl3_earthvqa,InternVL3-8B,EarthVQA,cos_sim,8,9,non_sdc,5364,375,5364,0,0.0,0.8209638467621065,0.8274523337824005,0.04647209017082549,0.7999571152969137,0.8524032286975695,0.8168487000607626,0.82508119798215,adequate
