job,model,dataset,metric,src_layer,tgt_layer,sdc_group,rows,semantic_groups,finite_rows,non_finite_rows,non_finite_rate,mean_value,median_value,std_value,q25_value,q75_value,mean_ci95_low,mean_ci95_high,evidence
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,19,20,significant_sdc,264,56,157,107,0.4053030303030303,0.4669087181043599,0.6687591489480467,0.3595422929034983,0.0,0.7278367804021252,0.3564968101613861,0.5447975792395535,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,20,21,non_sdc,5906,75,5906,0,0.0,0.7915104494534908,0.791106281372217,0.05318056074311076,0.7656548793117206,0.827399636737325,0.7804159998632915,0.8018414747272647,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,20,21,non_significant_sdc,1327,73,1327,0,0.0,0.7824655743280351,0.7845202452606626,0.050208880266092985,0.7607227514187496,0.8131102005108481,0.7713782322160212,0.7934602559412145,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,20,21,significant_sdc,264,54,154,110,0.41666666666666663,0.5004014026941567,0.5669984689050791,0.2615728117133912,0.16606653048371783,0.720493308490231,0.39731041059059413,0.5761157779885908,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,21,22,non_sdc,5906,75,5906,0,0.0,0.7596337547118629,0.7572426497936249,0.06578640357650618,0.7204856180718967,0.8004839472910937,0.7455197306371012,0.7734322002224899,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,21,22,non_significant_sdc,1327,73,1327,0,0.0,0.7480150423445303,0.7465498256683349,0.057762105722877904,0.7195248618721961,0.7785218973954519,0.7341483208538366,0.7617963795187213,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,21,22,significant_sdc,264,53,152,112,0.4242424242424242,0.327791000535381,0.19368135100420641,0.317244843360416,0.025532033218412985,0.5960739575326444,0.1847675007722841,0.43187187486671275,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,22,23,non_sdc,5906,75,5906,0,0.0,0.8339247335495944,0.8359020090612925,0.04573665145604787,0.8040406595874618,0.861365710526428,0.8243687971800009,0.8433019285113603,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,22,23,non_significant_sdc,1327,73,1327,0,0.0,0.8268975832839669,0.8284291570836847,0.041410775778433155,0.8003115070717676,0.8560220540472956,0.8158950898664192,0.8374330797263395,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,22,23,significant_sdc,264,52,147,117,0.44318181818181823,0.6245091444854837,0.5777466637747628,0.17506557550905677,0.5152032144215642,0.7870905089836855,0.5539562272939819,0.6754157909021191,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,23,24,non_sdc,5906,75,5906,0,0.0,0.798682697587529,0.7936782594112789,0.05158349176774252,0.7587039315008692,0.8365699363012726,0.788187807211941,0.809765035610999,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,23,24,non_significant_sdc,1327,73,1327,0,0.0,0.7871901014102982,0.7847652756250821,0.047394466339030564,0.7579314956352824,0.8150298181507323,0.7762210160155308,0.7987506528529676,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,23,24,significant_sdc,264,52,144,120,0.4545454545454546,0.6209826278125377,0.6167734572473837,0.17222407228174103,0.5609483749282604,0.7301965890561833,0.5636855516840092,0.6638080120041292,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,24,25,non_sdc,5906,75,5906,0,0.0,0.8157804190154259,0.8138104031483332,0.05165620791952076,0.7801672940452894,0.8477979302406311,0.804821195871652,0.8263617321880544,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,24,25,non_significant_sdc,1327,73,1327,0,0.0,0.8036797620158778,0.809014835357666,0.045062678460644295,0.7751770054592806,0.8286793729976604,0.7931155358150723,0.8144750174631042,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,24,25,significant_sdc,264,50,139,125,0.4734848484848485,0.6816165524128114,0.7135891366978081,0.18729425565741434,0.7022443547540781,0.7588703105847041,0.6242839735412685,0.725571764763145,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,25,26,non_sdc,5906,75,5906,0,0.0,0.9062101423572815,0.9115223627998715,0.035346373753885864,0.8892317990816775,0.9303242416573752,0.8990307172543043,0.9131746863587521,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,25,26,non_significant_sdc,1327,73,1327,0,0.0,0.9031072010032817,0.909190890689691,0.03455452268799518,0.8901667899482852,0.9238117501687844,0.8957674406706065,0.909586996121241,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,25,26,significant_sdc,264,50,134,130,0.49242424242424243,0.6581049898043808,0.6511642245613799,0.2731961457686052,0.5344433957824901,0.8943016288372186,0.542474043911238,0.7335720563629015,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,26,27,non_sdc,5906,75,5906,0,0.0,0.9809698130979853,0.9828372311807866,0.010734849258656127,0.9779303556138819,0.9873119993342293,0.978951677552998,0.9828321546933078,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,26,27,non_significant_sdc,1327,73,1327,0,0.0,0.9791170431659596,0.9811116357644399,0.019841628408281364,0.9772833473041278,0.9845729753375053,0.977051023059462,0.9809146768184814,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,cos_sim,26,27,significant_sdc,264,49,126,138,0.5227272727272727,0.7796250663135234,0.6990995334119212,0.21923662444382205,0.6701894758307204,0.9796074138811002,0.6892778409883981,0.8367855806922933,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,0,1,non_sdc,5906,75,5906,0,0.0,0.013854666143282865,0.013615331812096494,0.002986330564591273,0.011837946116238049,0.015788047249026764,0.013314275104013527,0.01440879287520891,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,0,1,non_significant_sdc,1327,73,1327,0,0.0,0.013802427482036592,0.013783949605353615,0.002971601239296757,0.011587921622170445,0.015801787259988487,0.013231327524586764,0.014408916322764146,adequate
qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,abs_mean_diff,0,1,significant_sdc,264,67,216,48,0.18181818181818177,3.211797137995541e+30,0.004386312447070164,4.592015731635502e+31,0.003693498666303194,0.015176458761007303,4.7797947294474844e+27,1.1128248409730382e+31,adequate
