job,model,dataset,profile,k,feature_count,cohort,selection_threshold,calibration_precision,calibration_recall,calibration_f1,calibration_fpr,best_iteration,model_train_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
internvl3_lingoqa,internvl3,lingoqa,60D,8,60,canonical_finite,0.4694498181343078,0.9908536585365854,0.8643617021276596,0.9232954545454546,0.0005503577325261,29,22757,4069,5827,5776,273,313,266,47,7,5456,0.8498402555910544,0.9743589743589745,0.008540795929493,0.9078498293515358
internvl3_lingoqa,internvl3,lingoqa,60D,8,60,full,0.4694498181343078,0.9908536585365854,0.8643617021276596,0.9232954545454546,0.0005503577325261,29,22757,4069,5827,5827,324,364,317,47,7,5456,0.8708791208791209,0.9783950617283952,0.008540795929493,0.9215116279069768
internvl3_vqav2,internvl3,vqav2,60D,8,60,canonical_finite,0.3534072041511535,0.9861111111111112,0.9149484536082474,0.9491978609625668,0.0008798169980644,601,22389,3796,6071,6031,289,302,269,33,20,5709,0.890728476821192,0.9307958477508652,0.0057471264367816,0.910321489001692
internvl3_vqav2,internvl3,vqav2,60D,8,60,full,0.3534072041511535,0.9861111111111112,0.9149484536082474,0.9491978609625668,0.0008798169980644,601,22389,3796,6071,6086,344,357,324,33,20,5709,0.907563025210084,0.9418604651162792,0.0057471264367816,0.9243937232524964
llava15_earthvqa,llava15,earthvqa,60D,8,60,canonical_finite,0.5383694767951965,0.9830508474576272,0.943089430894309,0.9626556016597512,0.0003531696980399,9,22878,4047,5786,5697,42,37,35,2,7,5653,0.945945945945946,0.8333333333333334,0.0003536693191865,0.8860759493670886
llava15_earthvqa,llava15,earthvqa,60D,8,60,full,0.5383694767951965,0.9830508474576272,0.943089430894309,0.9626556016597512,0.0003531696980399,9,22878,4047,5786,5786,131,126,124,2,7,5653,0.984126984126984,0.9465648854961832,0.0003536693191865,0.9649805447470816
llava15_lingoqa,llava15,lingoqa,60D,8,60,canonical_finite,0.4687675833702087,1.0,0.9428571428571428,0.9705882352941176,0.0,664,22762,4070,5830,5744,54,34,33,1,21,5689,0.9705882352941176,0.6111111111111112,0.0001757469244288,0.75
llava15_lingoqa,llava15,lingoqa,60D,8,60,full,0.4687675833702087,1.0,0.9428571428571428,0.9705882352941176,0.0,664,22762,4070,5830,5830,140,120,119,1,21,5689,0.9916666666666668,0.85,0.0001757469244288,0.9153846153846154
llava15_vqav2,llava15,vqav2,60D,8,60,canonical_finite,0.5104902982711792,1.0,0.891156462585034,0.9424460431654677,0.0,26,22394,3806,6071,6013,43,26,26,0,17,5970,1.0,0.6046511627906976,0.0,0.7536231884057971
llava15_vqav2,llava15,vqav2,60D,8,60,full,0.5104902982711792,1.0,0.891156462585034,0.9424460431654677,0.0,26,22394,3806,6071,6094,124,107,107,0,17,5970,1.0,0.8629032258064516,0.0,0.9264069264069263
qwen25_vl_earthvqa,qwen25_vl,earthvqa,60D,8,60,canonical_finite,0.908598244190216,0.9932885906040269,0.8554913294797688,0.9192546583850932,0.0001783803068141,217,22831,4041,5779,5717,114,103,103,0,11,5603,1.0,0.9035087719298246,0.0,0.9493087557603688
qwen25_vl_earthvqa,qwen25_vl,earthvqa,60D,8,60,full,0.908598244190216,0.9932885906040269,0.8554913294797688,0.9192546583850932,0.0001783803068141,217,22831,4041,5779,5772,169,158,158,0,11,5603,1.0,0.9349112426035504,0.0,0.9663608562691132
qwen25_vl_lingoqa,qwen25_vl,lingoqa,60D,8,60,canonical_finite,0.8133078217506409,1.0,0.910828025477707,0.9533333333333334,0.0,803,22745,4067,5830,5786,141,104,104,0,37,5645,1.0,0.7375886524822695,0.0,0.8489795918367347
qwen25_vl_lingoqa,qwen25_vl,lingoqa,60D,8,60,full,0.8133078217506409,1.0,0.910828025477707,0.9533333333333334,0.0,803,22745,4067,5830,5824,179,142,142,0,37,5645,1.0,0.7932960893854749,0.0,0.8847352024922118
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,8,60,canonical_finite,0.5300246477127075,0.992248062015504,0.6808510638297872,0.8075709779179809,0.000170386777986,38,22380,3802,6057,6035,141,105,83,22,58,5872,0.7904761904761904,0.5886524822695035,0.003732609433322,0.6747967479674797
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,8,60,full,0.5300246477127075,0.992248062015504,0.6808510638297872,0.8075709779179809,0.000170386777986,38,22380,3802,6057,6084,190,154,132,22,58,5872,0.8571428571428571,0.6947368421052632,0.003732609433322,0.7674418604651163
internvl3_earthvqa,internvl3,earthvqa,60D,12,60,canonical_finite,0.9580453634262084,0.9968553459119496,0.9434523809523808,0.9694189602446482,0.0001842299189388,276,22824,4039,5764,5715,253,235,234,1,19,5461,0.9957446808510638,0.924901185770751,0.0001830831197363,0.9590163934426228
internvl3_earthvqa,internvl3,earthvqa,60D,12,60,full,0.9580453634262084,0.9968553459119496,0.9434523809523808,0.9694189602446482,0.0001842299189388,276,22824,4039,5764,5773,311,293,292,1,19,5461,0.9965870307167236,0.9389067524115756,0.0001830831197363,0.9668874172185432
internvl3_lingoqa,internvl3,lingoqa,60D,12,60,canonical_finite,0.5016323924064636,0.9969135802469136,0.8590425531914894,0.9228571428571428,0.0001834525775087,2,22757,4069,5827,5776,273,291,265,26,8,5477,0.9106529209621992,0.9706959706959708,0.0047246956205705,0.9397163120567376
internvl3_lingoqa,internvl3,lingoqa,60D,12,60,full,0.5016323924064636,0.9969135802469136,0.8590425531914894,0.9228571428571428,0.0001834525775087,2,22757,4069,5827,5827,324,342,316,26,8,5477,0.9239766081871345,0.9753086419753086,0.0047246956205705,0.948948948948949
internvl3_vqav2,internvl3,vqav2,60D,12,60,canonical_finite,0.8913135528564453,0.988795518207283,0.9097938144329896,0.9476510067114094,0.0007038535984515,502,22389,3796,6071,6031,289,279,268,11,21,5731,0.9605734767025088,0.9273356401384084,0.0019157088122605,0.943661971830986
internvl3_vqav2,internvl3,vqav2,60D,12,60,full,0.8913135528564453,0.988795518207283,0.9097938144329896,0.9476510067114094,0.0007038535984515,502,22389,3796,6071,6086,344,334,323,11,21,5731,0.9670658682634732,0.938953488372093,0.0019157088122605,0.952802359882006
llava15_earthvqa,llava15,earthvqa,60D,12,60,canonical_finite,0.6765786409378052,1.0,0.943089430894309,0.9707112970711296,0.0,47,22878,4047,5786,5697,42,35,33,2,9,5653,0.9428571428571428,0.7857142857142857,0.0003536693191865,0.8571428571428571
llava15_earthvqa,llava15,earthvqa,60D,12,60,full,0.6765786409378052,1.0,0.943089430894309,0.9707112970711296,0.0,47,22878,4047,5786,5786,131,124,122,2,9,5653,0.9838709677419356,0.931297709923664,0.0003536693191865,0.9568627450980391
llava15_lingoqa,llava15,lingoqa,60D,12,60,canonical_finite,0.6916455626487732,1.0,0.9428571428571428,0.9705882352941176,0.0,276,22762,4070,5830,5744,54,33,33,0,21,5690,1.0,0.6111111111111112,0.0,0.7586206896551724
llava15_lingoqa,llava15,lingoqa,60D,12,60,full,0.6916455626487732,1.0,0.9428571428571428,0.9705882352941176,0.0,276,22762,4070,5830,5830,140,119,119,0,21,5690,1.0,0.85,0.0,0.918918918918919
llava15_vqav2,llava15,vqav2,60D,12,60,canonical_finite,0.3440704941749573,1.0,0.9047619047619048,0.95,0.0,239,22394,3806,6071,6013,43,27,27,0,16,5970,1.0,0.627906976744186,0.0,0.7714285714285715
llava15_vqav2,llava15,vqav2,60D,12,60,full,0.3440704941749573,1.0,0.9047619047619048,0.95,0.0,239,22394,3806,6071,6094,124,108,108,0,16,5970,1.0,0.8709677419354839,0.0,0.9310344827586208
qwen25_vl_earthvqa,qwen25_vl,earthvqa,60D,12,60,canonical_finite,0.8589515089988708,0.9932885906040269,0.8554913294797688,0.9192546583850932,0.0001783803068141,152,22831,4041,5779,5717,114,101,101,0,13,5603,1.0,0.8859649122807017,0.0,0.9395348837209302
qwen25_vl_earthvqa,qwen25_vl,earthvqa,60D,12,60,full,0.8589515089988708,0.9932885906040269,0.8554913294797688,0.9192546583850932,0.0001783803068141,152,22831,4041,5779,5772,169,156,156,0,13,5603,1.0,0.9230769230769232,0.0,0.96
qwen25_vl_lingoqa,qwen25_vl,lingoqa,60D,12,60,canonical_finite,0.7713188529014587,1.0,0.910828025477707,0.9533333333333334,0.0,138,22745,4067,5830,5786,141,106,105,1,36,5644,0.9905660377358492,0.7446808510638298,0.0001771479185119,0.8502024291497976
qwen25_vl_lingoqa,qwen25_vl,lingoqa,60D,12,60,full,0.7713188529014587,1.0,0.910828025477707,0.9533333333333334,0.0,138,22745,4067,5830,5824,179,144,143,1,36,5644,0.9930555555555556,0.7988826815642458,0.0001771479185119,0.8854489164086687
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,12,60,canonical_finite,0.5474540591239929,1.0,0.6702127659574468,0.802547770700637,0.0,101,22380,3802,6057,6035,141,86,83,3,58,5891,0.9651162790697676,0.5886524822695035,0.000508992195453,0.7312775330396476
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,12,60,full,0.5474540591239929,1.0,0.6702127659574468,0.802547770700637,0.0,101,22380,3802,6057,6084,190,135,132,3,58,5891,0.9777777777777776,0.6947368421052632,0.000508992195453,0.8123076923076923
internvl3_earthvqa,internvl3,earthvqa,60D,16,60,canonical_finite,0.8339898586273193,0.99375,0.9464285714285714,0.9695121951219512,0.0003684598378776,662,22824,4039,5764,5715,253,238,237,1,16,5461,0.9957983193277312,0.9367588932806324,0.0001830831197363,0.9653767820773932
internvl3_earthvqa,internvl3,earthvqa,60D,16,60,full,0.8339898586273193,0.99375,0.9464285714285714,0.9695121951219512,0.0003684598378776,662,22824,4039,5764,5773,311,296,295,1,16,5461,0.9966216216216216,0.9485530546623794,0.0001830831197363,0.971993410214168
internvl3_lingoqa,internvl3,lingoqa,60D,16,60,canonical_finite,0.468710333108902,0.9969325153374232,0.8643617021276596,0.925925925925926,0.0001834525775087,96,22757,4069,5827,5776,273,288,265,23,8,5480,0.9201388888888888,0.9706959706959708,0.0041795384335816,0.9447415329768272
internvl3_lingoqa,internvl3,lingoqa,60D,16,60,full,0.468710333108902,0.9969325153374232,0.8643617021276596,0.925925925925926,0.0001834525775087,96,22757,4069,5827,5827,324,339,316,23,8,5480,0.9321533923303836,0.9753086419753086,0.0041795384335816,0.9532428355957768
internvl3_vqav2,internvl3,vqav2,60D,16,60,canonical_finite,0.5206403732299805,0.9887640449438202,0.9072164948453608,0.9462365591397848,0.0007038535984515,7,22389,3796,6071,6031,289,278,267,11,22,5731,0.960431654676259,0.9238754325259516,0.0019157088122605,0.9417989417989416
internvl3_vqav2,internvl3,vqav2,60D,16,60,full,0.5206403732299805,0.9887640449438202,0.9072164948453608,0.9462365591397848,0.0007038535984515,7,22389,3796,6071,6086,344,333,322,11,22,5731,0.9669669669669668,0.936046511627907,0.0019157088122605,0.9512555391432792
llava15_earthvqa,llava15,earthvqa,60D,16,60,canonical_finite,0.6051322221755981,1.0,0.943089430894309,0.9707112970711296,0.0,25,22878,4047,5786,5697,42,35,34,1,8,5654,0.9714285714285714,0.8095238095238095,0.0001768346595932,0.8831168831168831
llava15_earthvqa,llava15,earthvqa,60D,16,60,full,0.6051322221755981,1.0,0.943089430894309,0.9707112970711296,0.0,25,22878,4047,5786,5786,131,124,123,1,8,5654,0.9919354838709676,0.9389312977099236,0.0001768346595932,0.9647058823529412
llava15_lingoqa,llava15,lingoqa,60D,16,60,canonical_finite,0.4193556606769562,1.0,0.9428571428571428,0.9705882352941176,0.0,549,22762,4070,5830,5744,54,33,33,0,21,5690,1.0,0.6111111111111112,0.0,0.7586206896551724
llava15_lingoqa,llava15,lingoqa,60D,16,60,full,0.4193556606769562,1.0,0.9428571428571428,0.9705882352941176,0.0,549,22762,4070,5830,5830,140,119,119,0,21,5690,1.0,0.85,0.0,0.918918918918919
llava15_vqav2,llava15,vqav2,60D,16,60,canonical_finite,0.2104533612728119,1.0,0.9047619047619048,0.95,0.0,459,22394,3806,6071,6013,43,50,27,23,16,5947,0.54,0.627906976744186,0.0038525963149078,0.5806451612903226
llava15_vqav2,llava15,vqav2,60D,16,60,full,0.2104533612728119,1.0,0.9047619047619048,0.95,0.0,459,22394,3806,6071,6094,124,131,108,23,16,5947,0.8244274809160306,0.8709677419354839,0.0038525963149078,0.8470588235294118
qwen25_vl_earthvqa,qwen25_vl,earthvqa,60D,16,60,canonical_finite,0.5070430636405945,0.9866666666666668,0.8554913294797688,0.9164086687306504,0.0003567606136282,20,22831,4041,5779,5717,114,113,104,9,10,5594,0.9203539823008848,0.912280701754386,0.0016062823487417,0.9162995594713657
