profile,k,feature_count,cohort,tasks,precision,recall,f1,false_positive_rate,fpr_percent
48D,20,48,full,9,0.9298762920463776,0.887703320869848,0.9054143193510631,0.002012967001686889,0.2012967001686889
48D,24,48,full,9,0.9335530470621829,0.8871041906225979,0.905642357135695,0.001737680666004311,0.17376806660043112
48D,28,48,full,9,0.9366364599042059,0.8898851081953004,0.9099666749426191,0.0019161992945354667,0.19161992945354667
48D,32,48,full,9,0.919295704826375,0.8887963218889873,0.9008957212276572,0.002328145191115011,0.2328145191115011
60D,1,60,full,9,0.9425413797812152,0.8685516606907496,0.9001436573742012,0.0023549412859155444,0.23549412859155444
60D,2,60,full,9,0.9323610170724401,0.8762841927733338,0.901405873198908,0.0023529966230703223,0.23529966230703223
60D,4,60,full,9,0.9654165226622133,0.8813189349563337,0.919722886446993,0.0013633978485998667,0.13633978485998668
60D,8,60,full,9,0.9564432026130265,0.8831117147578195,0.9157235985141676,0.0020814479069942446,0.20814479069942446
60D,12,60,full,9,0.9824815342491777,0.8802367534849508,0.9259123868379375,0.0008736996650798556,0.08736996650798556
60D,16,60,full,9,0.9620592796816158,0.8820158073310146,0.9164478655875834,0.0013237826320912334,0.13237826320912335
60D,20,60,full,9,0.9188101196568188,0.8824589943141918,0.8967182842752758,0.0026211472672412334,0.26211472672412334
60D,24,60,full,9,0.9394586162006091,0.8854441704327829,0.9081661436480418,0.0021244744723309555,0.21244744723309555
60D,28,60,full,9,0.9277156648400905,0.8821893999799595,0.8993393645298203,0.002703420603639789,0.2703420603639789
60D,32,60,full,9,0.9316989577619135,0.884721109556184,0.9025162830598696,0.0024120186737057996,0.24120186737057997
72D,1,72,full,9,0.9529776578738178,0.8816129802540094,0.9146339361612933,0.0017116378350123,0.17116378350123
72D,2,72,full,9,0.9563104609310064,0.881761728415055,0.9169554645190426,0.0012198658747139333,0.12198658747139333
72D,4,72,full,9,0.9312228556601089,0.8873959126282831,0.9075276296582049,0.0023195671370368444,0.23195671370368443
72D,8,72,full,9,0.9464596569330036,0.8883030737084732,0.9151737583806852,0.0016443341056224887,0.16443341056224886
72D,12,72,full,9,0.9898547354082443,0.8844987763273393,0.9321785919439015,0.0004108139183084333,0.04108139183084333
72D,16,72,full,9,0.9877863858192827,0.8858781595112344,0.9320962070960425,0.0004699082353951556,0.046990823539515565
72D,20,72,full,9,0.9489698847707396,0.8863778463714524,0.9138054054265565,0.001403331799232689,0.1403331799232689
72D,24,72,full,9,0.9702966666422453,0.8845347945016835,0.9228390336593777,0.0007234085322937667,0.07234085322937667
72D,28,72,full,9,0.9503961310353846,0.8868256605064174,0.9152052348734246,0.0013719878956480556,0.13719878956480555
72D,32,72,full,9,0.9399247049558433,0.8866738380412053,0.9095488636905191,0.0016963213194302557,0.16963213194302557
