job,model,dataset,configuration,ablation_family,removed_component,feature_count,cohort,selection_threshold,best_iteration,model_fit_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,strict_finite_reference_feature_count,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
llava15_earthvqa,llava15,earthvqa,without_pair_26_27,layer_pair,"(26,27)",24,full,0.8357624411582947,222,22878,4047,5786,5786,36,131,124,123,1,8,5654,0.9919354838709676,0.9389312977099236,0.0001768346595932,0.9647058823529412
llava15_earthvqa,llava15,earthvqa,without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,0.8357624411582947,222,22878,4047,5786,5669,36,14,7,6,1,8,5654,0.8571428571428571,0.4285714285714285,0.0001768346595932,0.5714285714285714
llava15_lingoqa,llava15,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,full,0.4972730278968811,4,22762,4070,5830,5830,36,140,166,120,46,20,5644,0.7228915662650602,0.8571428571428571,0.0080843585237258,0.7843137254901961
llava15_lingoqa,llava15,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,0.4972730278968811,4,22762,4070,5830,5719,36,29,55,9,46,20,5644,0.1636363636363636,0.3103448275862069,0.0080843585237258,0.2142857142857142
llava15_vqav2,llava15,vqav2,without_pair_26_27,layer_pair,"(26,27)",24,full,0.6002439856529236,237,22394,3806,6071,6094,36,124,120,108,12,16,5958,0.9,0.8709677419354839,0.0020100502512562,0.8852459016393442
llava15_vqav2,llava15,vqav2,without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,0.6002439856529236,237,22394,3806,6071,5993,36,23,19,7,12,16,5958,0.3684210526315789,0.3043478260869565,0.0020100502512562,0.3333333333333333
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_pair_26_27,layer_pair,"(26,27)",24,full,0.499284565448761,22,22831,4041,5779,5772,36,169,163,159,4,10,5599,0.9754601226993864,0.940828402366864,0.0007139032661074,0.9578313253012049
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,0.499284565448761,22,22831,4041,5779,5659,36,56,50,46,4,10,5599,0.92,0.8214285714285714,0.0007139032661074,0.8679245283018868
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,full,0.5285934805870056,5,22745,4067,5830,5824,36,179,139,139,0,40,5645,1.0,0.776536312849162,0.0,0.8742138364779874
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,0.5285934805870056,5,22745,4067,5830,5732,36,87,47,47,0,40,5645,1.0,0.5402298850574713,0.0,0.7014925373134329
qwen25_vl_vqav2,qwen25_vl,vqav2,without_pair_26_27,layer_pair,"(26,27)",24,full,0.966355323791504,485,22380,3802,6057,6084,36,190,128,128,0,62,5894,1.0,0.6736842105263158,0.0,0.8050314465408805
qwen25_vl_vqav2,qwen25_vl,vqav2,without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,0.966355323791504,485,22380,3802,6057,5993,36,99,37,37,0,62,5894,1.0,0.3737373737373737,0.0,0.5441176470588235
internvl3_earthvqa,internvl3,earthvqa,without_pair_6_7,layer_pair,"(6,7)",24,full,0.5135576128959656,2,22824,4039,5764,5773,36,311,299,296,3,15,5459,0.9899665551839464,0.9517684887459807,0.000549249359209,0.9704918032786886
internvl3_earthvqa,internvl3,earthvqa,without_pair_6_7,layer_pair,"(6,7)",24,strict_finite,0.5135576128959656,2,22824,4039,5764,5551,36,89,77,74,3,15,5459,0.961038961038961,0.8314606741573034,0.000549249359209,0.891566265060241
internvl3_lingoqa,internvl3,lingoqa,without_pair_6_7,layer_pair,"(6,7)",24,full,0.7100030779838562,137,22757,4069,5827,5827,36,324,322,317,5,7,5498,0.984472049689441,0.9783950617283952,0.0009085953116481,0.9814241486068112
internvl3_lingoqa,internvl3,lingoqa,without_pair_6_7,layer_pair,"(6,7)",24,strict_finite,0.7100030779838562,137,22757,4069,5827,5596,36,93,91,86,5,7,5498,0.945054945054945,0.9247311827956988,0.0009085953116481,0.9347826086956522
internvl3_vqav2,internvl3,vqav2,without_pair_6_7,layer_pair,"(6,7)",24,full,0.5236140489578247,4,22389,3796,6071,6086,36,344,322,322,0,22,5742,1.0,0.936046511627907,0.0,0.9669669669669668
internvl3_vqav2,internvl3,vqav2,without_pair_6_7,layer_pair,"(6,7)",24,strict_finite,0.5236140489578247,4,22389,3796,6071,5841,36,99,77,77,0,22,5742,1.0,0.7777777777777778,0.0,0.875
llava15_earthvqa,llava15,earthvqa,without_pair_6_7,layer_pair,"(6,7)",24,full,0.7275335192680359,315,22878,4047,5786,5786,36,131,133,126,7,5,5648,0.9473684210526316,0.9618320610687024,0.0012378426171529,0.9545454545454546
llava15_earthvqa,llava15,earthvqa,without_pair_6_7,layer_pair,"(6,7)",24,strict_finite,0.7275335192680359,315,22878,4047,5786,5669,36,14,16,9,7,5,5648,0.5625,0.6428571428571429,0.0012378426171529,0.6
