source_job,source_model,source_dataset,target_job,target_model,target_dataset,relationship,cohort,threshold,target_rows,target_strict_finite_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1,bootstrap_replicates,bootstrap_clusters,f1_ci_low,f1_ci_high
qwen25_vl_lingoqa,qwen25_vl,lingoqa,llava15_vqav2,llava15,vqav2,cross_model_cross_dataset,full,0.9652795195579529,8382,8232,169,126,126,0,43,8213,1.0,0.7455621301775148,0.0,0.8542372881355932,10000,116,0.7976870137134915,0.9142857142857143
qwen25_vl_lingoqa,qwen25_vl,lingoqa,qwen25_vl_earthvqa,qwen25_vl,earthvqa,same_model_cross_dataset,full,0.9652795195579529,8236,8077,270,225,225,0,45,7966,1.0,0.8333333333333334,0.0,0.9090909090909091,10000,375,0.8553971486761711,0.9558571445816584
qwen25_vl_lingoqa,qwen25_vl,lingoqa,qwen25_vl_lingoqa,qwen25_vl,lingoqa,in_domain,full,0.9652795195579529,8249,8104,212,198,197,1,15,8036,0.9949494949494949,0.9292452830188679,0.00012442453651860148,0.9609756097560975,10000,75,0.923723024914328,0.9883727674958183
qwen25_vl_lingoqa,qwen25_vl,lingoqa,qwen25_vl_vqav2,qwen25_vl,vqav2,same_model_cross_dataset,full,0.9652795195579529,8376,8211,261,258,143,115,118,8000,0.5542635658914729,0.5478927203065134,0.014171287738755391,0.5510597302504817,10000,116,0.4597128744884154,0.6452836665083546
qwen25_vl_vqav2,qwen25_vl,vqav2,internvl3_earthvqa,internvl3,earthvqa,cross_model_cross_dataset,full,0.8205813765525818,8236,7890,472,153,153,0,319,7764,1.0,0.3241525423728814,0.0,0.4896,10000,375,0.43844856661045534,0.5401240200054068
qwen25_vl_vqav2,qwen25_vl,vqav2,internvl3_lingoqa,internvl3,lingoqa,cross_model_cross_dataset,full,0.8205813765525818,8237,7891,497,354,354,0,143,7740,1.0,0.7122736418511066,0.0,0.8319623971797885,10000,75,0.7795083530853718,0.8767485513061162
qwen25_vl_vqav2,qwen25_vl,vqav2,internvl3_vqav2,internvl3,vqav2,cross_model_same_dataset,full,0.8205813765525818,8375,8041,503,239,239,0,264,7872,1.0,0.47514910536779326,0.0,0.6442048517520216,10000,116,0.5966227760103687,0.6923100871731008
qwen25_vl_vqav2,qwen25_vl,vqav2,llava15_earthvqa,llava15,earthvqa,cross_model_cross_dataset,full,0.8205813765525818,8250,8113,149,109,109,0,40,8101,1.0,0.7315436241610739,0.0,0.8449612403100775,10000,375,0.792156862745098,0.8913063833251913
qwen25_vl_vqav2,qwen25_vl,vqav2,llava15_lingoqa,llava15,lingoqa,cross_model_cross_dataset,full,0.8205813765525818,8245,8086,187,120,120,0,67,8058,1.0,0.6417112299465241,0.0,0.7817589576547231,10000,75,0.7248322147651006,0.8333333333333334
qwen25_vl_vqav2,qwen25_vl,vqav2,llava15_vqav2,llava15,vqav2,cross_model_same_dataset,full,0.8205813765525818,8382,8232,169,145,145,0,24,8213,1.0,0.8579881656804734,0.0,0.9235668789808917,10000,116,0.8633540372670807,0.9739146597704865
qwen25_vl_vqav2,qwen25_vl,vqav2,qwen25_vl_earthvqa,qwen25_vl,earthvqa,same_model_cross_dataset,full,0.8205813765525818,8236,8077,270,224,224,0,46,7966,1.0,0.8296296296296296,0.0,0.9068825910931174,10000,375,0.8529411764705882,0.9539748953974896
qwen25_vl_vqav2,qwen25_vl,vqav2,qwen25_vl_lingoqa,qwen25_vl,lingoqa,same_model_cross_dataset,full,0.8205813765525818,8249,8104,212,197,197,0,15,8037,1.0,0.9292452830188679,0.0,0.9633251833740831,10000,75,0.9267015706806283,0.9903381642512077
qwen25_vl_vqav2,qwen25_vl,vqav2,qwen25_vl_vqav2,qwen25_vl,vqav2,in_domain,full,0.8205813765525818,8376,8211,261,220,220,0,41,8115,1.0,0.842911877394636,0.0,0.9147609147609148,10000,116,0.8658823529411764,0.960872216330859
internvl3_earthvqa,internvl3,earthvqa,internvl3_earthvqa,internvl3,earthvqa,in_domain,strict_finite,0.4291782081127167,7890,7890,126,117,115,2,11,7762,0.9829059829059829,0.9126984126984127,0.00025759917568263783,0.9465020576131687,10000,375,0.9049384392540286,0.9799196787148594
internvl3_earthvqa,internvl3,earthvqa,internvl3_lingoqa,internvl3,lingoqa,same_model_cross_dataset,strict_finite,0.4291782081127167,7891,7891,151,1274,116,1158,35,6582,0.09105180533751962,0.7682119205298014,0.1496124031007752,0.16280701754385965,10000,75,0.11694581650077047,0.23365449547355674
internvl3_earthvqa,internvl3,earthvqa,internvl3_vqav2,internvl3,vqav2,same_model_cross_dataset,strict_finite,0.4291782081127167,8041,8041,169,4574,118,4456,51,3416,0.02579798863139484,0.6982248520710059,0.5660569105691057,0.04975753742357158,10000,116,0.042239848108827506,0.05790821673500155
internvl3_earthvqa,internvl3,earthvqa,llava15_earthvqa,llava15,earthvqa,cross_model_same_dataset,strict_finite,0.4291782081127167,8113,8113,12,241,7,234,5,7867,0.029045643153526972,0.5833333333333334,0.028885322799654365,0.05533596837944664,10000,375,0.01809954751131222,0.11000229357798162
internvl3_earthvqa,internvl3,earthvqa,llava15_lingoqa,llava15,lingoqa,cross_model_cross_dataset,strict_finite,0.4291782081127167,8086,8086,28,2050,20,2030,8,6028,0.00975609756097561,0.7142857142857143,0.25192355423181934,0.019249278152069296,10000,75,0.010968885585370762,0.03112992164804573
internvl3_earthvqa,internvl3,earthvqa,llava15_vqav2,llava15,vqav2,cross_model_cross_dataset,strict_finite,0.4291782081127167,8232,8232,19,2527,8,2519,11,5694,0.0031658092599920855,0.42105263157894735,0.30670887617192255,0.006284367635506678,10000,116,0.0024114787900058323,0.01114232015822555
internvl3_earthvqa,internvl3,earthvqa,qwen25_vl_earthvqa,qwen25_vl,earthvqa,cross_model_same_dataset,strict_finite,0.4291782081127167,8077,8077,111,12,12,0,99,7966,1.0,0.10810810810810811,0.0,0.1951219512195122,10000,375,0.10526315789473684,0.2962962962962963
internvl3_earthvqa,internvl3,earthvqa,qwen25_vl_lingoqa,qwen25_vl,lingoqa,cross_model_cross_dataset,strict_finite,0.4291782081127167,8104,8104,67,60,45,15,22,8022,0.75,0.6716417910447762,0.001866368047779022,0.7086614173228346,10000,75,0.5477669093114953,0.8617886178861789
internvl3_earthvqa,internvl3,earthvqa,qwen25_vl_vqav2,qwen25_vl,vqav2,cross_model_cross_dataset,strict_finite,0.4291782081127167,8211,8211,96,672,56,616,40,7499,0.08333333333333333,0.5833333333333334,0.07590881084411584,0.14583333333333334,10000,116,0.10836089256779181,0.19601241366815453
internvl3_lingoqa,internvl3,lingoqa,internvl3_earthvqa,internvl3,earthvqa,same_model_cross_dataset,strict_finite,0.8888392448425293,7890,7890,126,110,110,0,16,7764,1.0,0.873015873015873,0.0,0.9322033898305084,10000,375,0.8857142857142857,0.9710179765886287
internvl3_lingoqa,internvl3,lingoqa,internvl3_lingoqa,internvl3,lingoqa,in_domain,strict_finite,0.8888392448425293,7891,7891,151,113,110,3,41,7737,0.9734513274336283,0.7284768211920529,0.0003875968992248062,0.8333333333333334,10000,75,0.6909061004784689,0.95283142349106
internvl3_lingoqa,internvl3,lingoqa,internvl3_vqav2,internvl3,vqav2,same_model_cross_dataset,strict_finite,0.8888392448425293,8041,8041,169,153,130,23,39,7849,0.8496732026143791,0.7692307692307693,0.0029217479674796746,0.8074534161490683,10000,116,0.7117903930131004,0.9177504002846468
internvl3_lingoqa,internvl3,lingoqa,llava15_earthvqa,llava15,earthvqa,cross_model_cross_dataset,strict_finite,0.8888392448425293,8113,8113,12,0,0,0,12,8101,0.0,0.0,0.0,0.0,10000,375,0.0,0.0
internvl3_lingoqa,internvl3,lingoqa,llava15_lingoqa,llava15,lingoqa,cross_model_same_dataset,strict_finite,0.8888392448425293,8086,8086,28,0,0,0,28,8058,0.0,0.0,0.0,0.0,10000,75,0.0,0.0
internvl3_lingoqa,internvl3,lingoqa,llava15_vqav2,llava15,vqav2,cross_model_cross_dataset,strict_finite,0.8888392448425293,8232,8232,19,0,0,0,19,8213,0.0,0.0,0.0,0.0,10000,116,0.0,0.0
