scope_type,scope,model,dataset,bucket_order,deviation_bucket,samples,sample_share_pct,significant_sdc,non_significant_sdc,significant_global_share_pct,non_significant_global_share_pct,significant_rate_pct,non_significant_rate_pct,significant_capture_pct,non_significant_distribution_pct
job,qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,0,"[0,1]",34687,70.48913816578268,147,34540,0.298725842833628,70.19041232294906,0.42378989246691845,99.57621010753309,14.969450101832994,71.61963215626102
job,qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,1,"(1,1e6]",8442,17.15539840273121,36,8406,0.07315734926537829,17.08224105346583,0.42643923240938164,99.57356076759062,3.6659877800407332,17.430070292574698
job,qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,2,>1e6,6080,12.355463431486111,799,5281,1.6236867239732569,10.731776707512854,13.141447368421053,86.85855263157895,81.36456211812627,10.950297551164285
job,qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,0,"[0,1]",34749,70.50910050118702,116,34633,0.23537528153724407,70.27372521964978,0.3338225560447783,99.66617744395522,12.433011789924974,71.62978283350569
job,qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,1,"(1,1e6]",8417,17.078911592232615,45,8372,0.09130937645841365,16.987602215774203,0.5346322917904242,99.46536770820957,4.823151125401929,17.31540847983454
job,qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,2,>1e6,6117,12.411987906580363,772,5345,1.566463080575452,10.84552482600491,12.62056563675004,87.37943436324996,82.7438370846731,11.054808686659772
job,qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,0,"[0,1]",34955,70.94004951901611,205,34750,0.41604091407233024,70.52400860494379,0.5864683164068087,99.41353168359319,19.84511132623427,72.03416181256607
job,qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,1,"(1,1e6]",8234,16.71063847059301,54,8180,0.10959126517027236,16.601047205422738,0.6558173427252854,99.34418265727471,5.227492739593417,16.956530751850085
job,qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,2,>1e6,6085,12.349312010390875,774,5311,1.570808134107237,10.778503876283638,12.719802793755136,87.28019720624486,74.92739593417231,11.009307435583839
job,internvl3_earthvqa,InternVL3-8B,EarthVQA,0,"[0,1]",33966,69.02536172980004,63,33903,0.12802796293285645,68.89733376686718,0.18547959724430313,99.81452040275569,2.610857853294654,72.45004808206005
job,internvl3_earthvqa,InternVL3-8B,EarthVQA,1,"(1,1e6]",9080,18.452284181433914,29,9051,0.05893350674687043,18.393350674687042,0.31938325991189426,99.68061674008811,1.2018234562784915,19.341810022438295
job,internvl3_earthvqa,InternVL3-8B,EarthVQA,2,>1e6,6162,12.522354088766054,2321,3841,4.716712729637457,7.805641359128597,37.66634209672184,62.33365790327816,96.18731869042685,8.208141895501656
job,internvl3_lingoqa,InternVL3-8B,LingoQA,0,"[0,1]",34113,69.19753336849365,150,33963,0.3042719785792527,68.8932613899144,0.4397150646381145,99.56028493536189,5.82977069568597,72.68699839486356
job,internvl3_lingoqa,InternVL3-8B,LingoQA,1,"(1,1e6]",8976,18.207635198182484,51,8925,0.10345247271694592,18.104182725465535,0.5681818181818182,99.43181818181819,1.9821220365332297,19.10112359550562
job,internvl3_lingoqa,InternVL3-8B,LingoQA,2,>1e6,6209,12.594831433323867,2372,3837,4.811554221266583,7.783277212057285,38.202609115799646,61.797390884200354,92.1881072677808,8.21187800963082
job,internvl3_vqav2,InternVL3-8B,VQAv2,0,"[0,1]",34207,69.3769520950797,146,34061,0.2961100068957125,69.080842088184,0.42681322536322974,99.57318677463677,5.62187139006546,72.92170673745959
job,internvl3_vqav2,InternVL3-8B,VQAv2,1,"(1,1e6]",8883,18.016062953798727,50,8833,0.10140753660812071,17.914655417190605,0.5628729032984352,99.43712709670156,1.9252984212552946,18.910702434220386
job,internvl3_vqav2,InternVL3-8B,VQAv2,2,>1e6,6216,12.606984951121568,2401,3815,4.869589907921957,7.73739504319961,38.626126126126124,61.373873873873876,92.45283018867924,8.167590828320025
job,llava15_earthvqa,LLaVA-1.5-7B,EarthVQA,0,"[0,1]",40195,81.15611371345501,23,40172,0.04643837829106768,81.10967533516394,0.05722104739395447,99.94277895260605,3.2348804500703237,82.29100518262081
job,llava15_earthvqa,LLaVA-1.5-7B,EarthVQA,1,"(1,1e6]",8154,16.463414634146343,111,8043,0.22411565175254403,16.239298982393798,1.3612950699043413,98.63870493009566,15.611814345991561,16.47581785033902
job,llava15_earthvqa,LLaVA-1.5-7B,EarthVQA,2,>1e6,1179,2.380471652398643,577,602,1.1649975771280892,1.215474075270554,48.93977947413062,51.06022052586938,81.15330520393812,1.2331769670401704
