scope_type,scope,model,dataset,bucket_order,deviation_bucket,samples,sample_share_pct,significant_sdc,non_significant_sdc,significant_global_share_pct,non_significant_global_share_pct,significant_rate_pct,non_significant_rate_pct,significant_capture_pct,non_significant_distribution_pct
job,qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,1,"(1,1e6]",8234,16.484484484484483,54,8180,0.10810810810810811,16.376376376376378,0.6558173427252854,99.34418265727471,3.187721369539551,16.9512599469496
job,qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,2,>1e6,6085,12.182182182182181,774,5311,1.5495495495495495,10.632632632632633,12.719802793755136,87.28019720624486,45.69067296340024,11.005885278514588
job,qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,3,non_finite,676,1.3533533533533533,661,15,1.3233233233233233,0.03003003003003003,97.7810650887574,2.2189349112426036,39.02007083825266,0.0310842175066313
job,internvl3_earthvqa,InternVL3-8B,EarthVQA,0,"[0,1]",33966,68.10771791221352,63,33903,0.12632592087585973,67.98139199133765,0.18547959724430313,99.81452040275569,2.068286277084701,72.40363053924186
job,internvl3_earthvqa,InternVL3-8B,EarthVQA,1,"(1,1e6]",9080,18.206973992901688,29,9051,0.05815002706984019,18.148823965831845,0.31938325991189426,99.68061674008811,0.9520682862770847,19.329418045915645
job,internvl3_earthvqa,InternVL3-8B,EarthVQA,2,>1e6,6162,12.355878165667422,2321,3841,4.654007338934451,7.701870826732971,37.66634209672184,62.33365790327816,76.19829284307288,8.2028830752803
job,internvl3_earthvqa,InternVL3-8B,EarthVQA,3,non_finite,663,1.3294299292173808,633,30,1.2692747288003048,0.06015520041707605,95.47511312217195,4.524886877828054,20.78135259356533,0.06406833956219968
job,internvl3_lingoqa,InternVL3-8B,LingoQA,0,"[0,1]",34113,68.28745871284156,150,33963,0.300270243218897,67.98718846962267,0.4397150646381145,99.56028493536189,4.6685340802987865,72.66056223524882
job,internvl3_lingoqa,InternVL3-8B,LingoQA,1,"(1,1e6]",8976,17.968171354218796,51,8925,0.10209188269442498,17.866079471524372,0.5681818181818182,99.43181818181819,1.5873015873015872,19.09417654357965
job,internvl3_lingoqa,InternVL3-8B,LingoQA,2,>1e6,6209,12.429186267640876,2372,3837,4.748273446101491,7.680912821539385,38.202609115799646,61.797390884200354,73.82508558979147,8.20889136108853
job,internvl3_lingoqa,InternVL3-8B,LingoQA,3,non_finite,657,1.315183665298769,640,17,1.2811530377339606,0.034030627564808326,97.4124809741248,2.5875190258751903,19.919078742608153,0.03636986008300886
job,internvl3_vqav2,InternVL3-8B,VQAv2,0,"[0,1]",34207,68.47151607350175,146,34061,0.29224548620841506,68.17927058729333,0.42681322536322974,99.57318677463677,4.5271317829457365,72.8842573770141
job,internvl3_vqav2,InternVL3-8B,VQAv2,1,"(1,1e6]",8883,17.78093598622843,50,8833,0.10008407061932023,17.68085191560911,0.5628729032984352,99.43712709670156,1.550387596899225,18.90099073459868
job,internvl3_vqav2,InternVL3-8B,VQAv2,2,>1e6,6216,12.44245165939389,2401,3815,4.806037071139757,7.636414588254134,38.626126126126124,61.373873873873876,74.44961240310077,8.163396315237627
job,internvl3_vqav2,InternVL3-8B,VQAv2,3,non_finite,652,1.3050962808759359,628,24,1.257055926978662,0.04804035389727371,96.31901840490798,3.6809815950920246,19.472868217054263,0.051355573149594505
